sampler,Lake,Date,Time_start,Time_end,Total_time,snow_melt_mosq,black_mosq,culiseta,culex_tarsalis,blood_test
SC,Heart,14-Jul,18:01,19:57,116,158,0,6,0,
SL_MR,Heart,19-Jul,15:03,16:03,60,16,1,0,0,
SC,Heart,19-Jul,15:03,16:03,60,18,0,0,0,
SC,Heart,25-Jul,18:00,19:00,60,233,2,1,0,15
SL,Heart,25-Jul,18:00,19:00,60,93,5,0,0,
SC,Heart,25-Jul,19:00,20:00,60,398,6,0,0,
MR,Heart,25-Jul,19:00,20:00,60,170,1,0,0,
SC,Heart,3-Aug,15:20,16:20,60,44,0,1,0,1
SL,Heart,3-Aug,15:15,16:15,60,22,0,0,0,
SC,Heart,3-Aug,16:20,17:20,60,110,0,1,0,
SL,Heart,3-Aug,16:15,17:15,60,50,0,1,0,
CC,Heart,15-Aug,16:00,17:00,60,29,0,0,0,1
SC,Heart,15-Aug,16:00,16:30,30,41,0,0,0,
SC,Heart,15-Aug,16:30,17:00,30,50,0,0,0,
SC,Heart,22-Aug,17:04,18:04,60,193,0,0,0,
KK,Heart,22-Aug,17:04,18:04,60,108,0,0,0,
SL_MR,Hidden,14-Jul,18:01,19:57,116,93,1,1,0,
SL_MR,Hidden,19-Jul,17:03,18:03,60,21,1,1,0,
SC,Hidden,19-Jul,17:03,18:03,60,37,1,0,0,
MR,Hidden,25-Jul,15:00,16:00,60,19,0,0,0,
SC,Hidden,25-Jul,15:00,16:00,60,6,0,0,0,
SC,Hidden,25-Jul,16:00,17:00,60,25,0,1,0,
SL,Hidden,25-Jul,16:00,17:00,60,63,0,0,0,
SC,Hidden,3-Aug,17:52,19:52,120,528,2,2,0,2
SL,Hidden,3-Aug,17:52,18:52,60,54,1,0,0,
SL,Hidden,3-Aug,18:52,19:52,60,115,0,1,0,
SC,Hidden,15-Aug,17:30,18:30,60,173,1,0,0,4
CC,Hidden,15-Aug,17:30,18:30,60,78,0,0,0,
KK,Hidden,22-Aug,15:32,16:32,60,35,1,0,0,
SC,Hidden,22-Aug,15:32,16:32,60,97,0,0,0,
SL_MR,Flower,20-Jul,13:25,14:25,60,0,0,0,0,
SC,Flower,20-Jul,13:25,14:25,60,0,0,0,0,
SC,Flower,20-Jul,14:45,15:30,45,1,0,7,0,
SL,Flower,20-Jul,14:45,16:00,75,0,0,0,0,
MR,Flower,20-Jul,14:45,16:00,75,0,0,1,0,
SC,Flower,29-Jul,19:00,19:50,50,185,0,9,0,
SC,Flower,29-Jul,18:00,19:00,60,97,0,3,0,
MR,Flower,29-Jul,19:00,19:50,50,7,0,0,0,
SC,Flower,4-Aug,15:45,16:45,60,112,0,1,0,2
SC,Flower,4-Aug,14:45,15:45,60,25,0,2,0,
SL,Flower,4-Aug,15:45,16:45,60,41,0,0,0,
SL,Flower,4-Aug,14:45,15:45,60,36,0,1,0,
CC,Flower,18-Aug,17:45,18:30,45,21,0,1,0,
SC,Flower,18-Aug,17:45,18:30,45,90,0,0,0,
SL_MR,No_Name,20-Jul,16:45,17:30,45,4,0,0,0,
SC,No_Name,20-Jul,16:45,17:30,45,13,0,1,1,
SL,No_Name,20-Jul,17:45,18:55,70,3,0,0,0,
MR,No_Name,20-Jul,17:45,18:55,70,1,0,0,0,
SC,No_Name,20-Jul,17:51,18:11,20,3,0,0,0,
SC,No_Name,29-Jul,15:30,16:30,60,70,0,0,0,11
SC,No_Name,29-Jul,16:30,17:30,60,38,0,0,1,
MR,No_Name,29-Jul,15:30,16:30,60,14,0,0,0,
MR,No_Name,29-Jul,16:30,17:20,50,12,0,0,0,
SC,No_Name,4-Aug,17:30,18:30,60,58,0,0,0,10
SC,No_Name,4-Aug,18:30,19:30,60,143,0,10,0,
SL,No_Name,4-Aug,16:30,17:30,60,55,0,0,0,
SL,No_Name,4-Aug,17:30,18:30,60,45,0,3,0,
SC,No_Name,18-Aug,16:30,17:15,45,124,0,0,0,1
CC,No_Name,18-Aug,16:30,17:15,45,80,0,0,0,
SL_MR,Gilbert,21-Jul,13:30,14:30,60,3,0,0,0,
SC,Gilbert,21-Jul,13:30,14:27,57,0,0,2,0,
MR,Gilbert,21-Jul,15:20,15:50,30,2,0,1,0,
SC,Gilbert,21-Jul,15:20,15:30,10,3,0,1,0,
MR,Gilbert,28-Jul,18:00,20:00,120,60,0,1,0,2
SC,Gilbert,28-Jul,18:00,19:00,60,106,0,3,0,
SC,Gilbert,28-Jul,19:00,20:00,60,49,0,3,0,
SL,Gilbert,6-Aug,14:30,15:30,60,9,0,0,0,
SL,Gilbert,6-Aug,15:30,16:30,60,22,0,0,0,
SC,Gilbert,6-Aug,14:30,15:30,60,19,0,2,0,
SC,Gilbert,6-Aug,15:30,16:30,60,16,0,2,0,
SC,Gilbert,18-Aug,14:10,14:55,45,8,0,0,0,
CC,Gilbert,18-Aug,14:10,14:55,45,6,0,0,0,
SC,Matlock,21-Jul,16:41,17:11,30,0,0,0,0,
SL_MR,Matlock,21-Jul,16:41,17:18,37,3,0,0,0,
SL,Matlock,21-Jul,17:18,17:48,30,0,0,0,0,
SC,Matlock,28-Jul,16:30,17:30,60,16,0,0,0,2
SC,Matlock,28-Jul,15:30,16:30,60,22,0,0,0,
MR,Matlock,28-Jul,15:30,17:30,120,8,0,0,0,
SC,Matlock,6-Aug,17:10,18:10,60,79,0,3,0,
SC,Matlock,6-Aug,18:10,19:10,60,88,0,0,1,
SL,Matlock,6-Aug,17:10,18:10,60,7,0,0,0,
SL,Matlock,6-Aug,18:10,19:10,60,43,0,0,0,
CC,Matlock,18-Aug,15:45,16:15,30,15,0,0,0,1
SC,Matlock,18-Aug,15:45,16:15,30,175,0,0,0,
SC,Marsh,15-Jul,17:56,20:00,124,379,10,0,1,
MR,Marsh,22-Jul,15:03,16:03,60,4,0,0,0,
SC,Marsh,22-Jul,15:03,16:03,60,27,0,0,0,
SL_MR,Marsh,22-Jul,13:29,14:29,60,2,0,0,0,
SC,Marsh,22-Jul,13:29,14:29,60,12,0,0,0,
MR,Marsh,27-Jul,19:00,20:00,60,239,0,0,0,7
SL,Marsh,27-Jul,18:00,19:00,60,63,1,0,0,
SC,Marsh,27-Jul,18:00,19:00,60,124,0,0,0,
SC,Marsh,27-Jul,19:00,20:00,60,159,0,0,0,
SC,Marsh,31-Jul,16:00,17:00,60,142,0,0,0,4
SC,Marsh,31-Jul,15:00,16:00,60,3,0,0,0,
ST_MR,Marsh,31-Jul,15:00,16:00,60,53,1,0,0,
ST_MR,Marsh,31-Jul,16:00,17:00,60,24,0,0,0,
SC,Marsh,17-Aug,17:44,18:44,60,252,0,0,0,
CC,Marsh,17-Aug,17:42,18:42,60,135,0,0,0,
SC,Marsh,23-Aug,16:04,17:04,60,20,0,0,0,1
KK,Marsh,23-Aug,16:04,17:04,60,25,0,0,0,
SL_MR,LEB,15-Jul,18:00,19:57,117,54,0,0,0,
SL_MR,LEB,22-Jul,17:00,18:00,60,33,0,0,0,2
SC,LEB,22-Jul,17:00,18:00,60,5,0,0,0,
SL,LEB,22-Jul,18:04,19:04,60,12,0,0,0,
SC,LEB,22-Jul,18:04,19:04,60,66,0,1,0,
SC,LEB,27-Jul,15:20,16:20,60,12,0,0,0,2
SC,LEB,27-Jul,16:20,17:20,60,52,0,0,0,
MR,LEB,27-Jul,15:20,16:20,60,18,0,0,0,
SL,LEB,27-Jul,16:20,17:20,60,47,0,0,0,
SC,LEB,31-Jul,18:00,18:50,50,446,0,1,0,2
SC,LEB,31-Jul,19:10,19:45,35,202,0,0,0,
ST_MR,LEB,31-Jul,18:00,19:00,60,226,0,1,0,
ST_MR,LEB,31-Jul,19:00,19:45,45,68,0,0,0,
SC,LEB,17-Aug,15:18,16:20,62,78,0,0,0,
CC,LEB,17-Aug,15:20,16:20,60,14,0,0,0,
SC,LEB,23-Aug,18:04,19:04,60,236,0,1,0,5
KK,LEB,23-Aug,18:04,19:07,63,216,0,0,0,
SL_MR,Little_Fish,18-Jul,18:01,20:00,119,4,0,0,0,
SL,Little_Fish,26-Jul,17:30,18:30,60,22,2,0,0,
SC,Little_Fish,26-Jul,17:30,18:30,60,15,0,0,0,
MR,Little_Fish,26-Jul,18:30,19:30,60,46,0,0,0,
SC,Little_Fish,26-Jul,18:30,19:30,60,136,3,1,0,
SC,Little_Fish,1-Aug,14:45,15:45,60,41,1,0,0,
SC,Little_Fish,1-Aug,15:45,16:45,50,61,2,1,0,
ST,Little_Fish,1-Aug,14:45,15:45,60,4,0,0,0,
MR,Little_Fish,1-Aug,15:45,16:45,60,16,1,0,0,
CC,Little_Fish,16-Aug,17:52,18:52,60,54,0,0,0,2
SC,Little_Fish,16-Aug,17:52,18:48,56,241,1,0,0,
KK,Little_Fish,24-Aug,15:37,16:39,62,48,3,0,0,4
SC,Little_Fish,24-Aug,15:37,16:37,60,246,2,0,0,
SC,Little_Lakes,18-Jul,18:11,20:02,111,60,0,0,0,7
SC,Little_Lakes,26-Jul,14:30,15:43,73,0,0,0,0,
MR,Little_Lakes,26-Jul,14:30,15:30,60,2,2,0,0,
SL,Little_Lakes,26-Jul,15:30,16:30,60,1,0,0,0,
SC,Little_Lakes,1-Aug,17:40,18:40,60,13,1,0,0,
SC,Little_Lakes,1-Aug,18:40,19:40,60,60,0,1,0,
ST,Little_Lakes,1-Aug,17:40,18:40,60,12,5,0,0,
MR,Little_Lakes,1-Aug,18:40,19:40,60,127,0,0,0,
CC,Little_Lakes,16-Aug,15:45,16:45,60,3,0,0,0,3
SC,Little_Lakes,16-Aug,15:45,16:37,52,16,1,0,0,
SC,Little_Lakes,24-Aug,17:20,18:20,60,140,2,0,0,1
KK,Little_Lakes,24-Aug,17:20,18:20,60,69,1,0,0,
SC,Mack,13-Jul,18:04,19:45,101,102,0,4,0,
SL_MR,Mack,17-Jul,18:00,19:40,70,44,4,9,0,
SC,Mack,24-Jul,18:00,20:00,120,163,2,1,0,2
SL,Mack,24-Jul,18:00,19:00,60,118,8,1,0,
MR,Mack,24-Jul,19:00,20:00,60,259,3,1,0,
SC,Mack,5-Aug,15:15,16:20,65,7,0,0,0,1
SC,Mack,5-Aug,16:20,17:15,55,60,0,0,0,
SL,Mack,5-Aug,15:45,16:20,35,6,0,1,0,
SL,Mack,5-Aug,16:20,17:15,55,8,0,0,0,
SC,Mack,19-Aug,16:30,17:30,60,32,0,0,0,1
CC,Mack,19-Aug,16:30,17:30,60,18,0,0,0,
SC,Mack,25-Aug,18:02,18:20,18,59,0,0,0,
KK,Mack,25-Aug,17:22,18:23,61,60,0,0,0,
SL_MR,EB,13-Jul,18:00,20:00,120,228,2,10,0,
SC,EB,17-Jul,17:56,20:01,103,426,0,18,0,
SC,EB,24-Jul,15:00,17:00,120,53,0,0,0,4
MR,EB,24-Jul,15:00,16:00,60,38,0,0,0,
SL,EB,24-Jul,16:00,17:00,60,35,0,0,0,
SL,EB,5-Aug,18:55,19:35,40,151,0,1,0,6
SL,EB,5-Aug,18:05,18:55,50,37,0,1,0,
SC,EB,5-Aug,18:05,18:55,50,224,0,3,0,
SC,EB,5-Aug,18:55,19:35,40,128,0,3,0,
SC,EB,19-Aug,18:10,19:10,60,96,0,0,0,
CC,EB,19-Aug,18:10,19:10,60,237,0,0,0,
KK,EB,25-Aug,15:40,16:40,60,15,0,0,0,